Spotify ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2jnezASa7o0lP6aif6VrIf,TEFLON DON,MIXTAPE PLUTO,Future,2024-09-20,159893,0.7926829268292683,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,hip hop,rap,southern hip hop,trap",Wilburn Holding Co./Epic,0.916,0.43328335832083953,11,0.7179937659393595,1,0.17436380772855795,0.0041444754845862035,0.0054918032786885245,0.10105544098022565,0.16452442159383035,0.37777300277115045,4
2cZOYofOX4d6g0OXxkaIjA,ALL RED,ALL RED,Playboi Carti,2024-09-13,148053,0.975609756097561,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,plugg,pluggnb,rage rap,rap",AWGE/Interscope Records,0.76,0.56071964017991,9,0.8036837631056957,0,0.04448633364750235,0.1300539509751391,0.0,0.33398034696105783,0.18273350471293917,0.5191239015426565,4
1560osUcXrnov6yuOjXvc1,No Face,No Face,Drake,2024-08-31,137142,0.8536585365853658,dkim3530,2024-09-24T21:04:17Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",OVO,0.853,0.60119940029985,10,0.741626523094361,1,0.06258246936852024,0.09198635294510749,0.0,0.06526749969671236,0.4633676092544987,0.3921918762318282,4
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,HARDSTONE PSYCHO,Don Toliver,2024-06-14,217333,0.8536585365853658,dkim3530,2024-09-24T21:04:17Z,rap,Cactus Jack / Atlantic,0.757,0.5082458770614693,4,0.6930575233777274,0,0.13100848256361922,0.22552128145797712,0.02855191256830601,0.23207570059444377,0.3026992287917738,0.3479497932751442,4
3lCb7ZYE3Fvie4JOPqpXfY,FIELD TRIP,FIELD TRIP,"¥$,Playboi Carti,Don Toliver,Kodak Black",2024-08-03,163155,0.7804878048780488,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,plugg,pluggnb,rage rap,rap,florida drill,florida rap,melodic rap,miami hip hop,trap,trap latino",YZY,0.731,0.5937031484257872,11,0.8068574667044488,0,0.1668237511781338,0.06442016126818802,0.0,0.06890695135266285,0.4494430162810626,0.3628502837835836,4
5oq7ssOOA3U6UbQ5vjYQvO,It Is What It Is (feat. Gunna),Better Me Than You,"Big Sean,Gunna",2024-08-30,203637,0.7804878048780488,dkim3530,2024-09-24T21:04:17Z,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap,atl hip hop,melodic rap",FF to Def Entertainment/Def Jam PS,0.667,0.6941529235382309,11,0.7500708415981865,0,0.36098020735155506,0.031006595599194733,0.0,0.496542520926847,0.6101113967437874,0.4374416502422904,4
2t4H61OtTYgmDe61KxkjKH,PLUTOSKI,MIXTAPE PLUTO,Future,2024-09-20,179022,0.7682926829268293,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,hip hop,rap,southern hip hop,trap",Wilburn Holding Co./Epic,0.794,0.36581709145427294,9,0.6085576650609238,1,0.05202639019792647,0.16704754153723886,3.7704918032786885e-05,0.21509159286667473,0.11953727506426735,0.3481794875594612,4
5Pvpk8WHAvmmxMr7SkcZsN,120,PLAN A,Lil Tecca,2024-09-20,130979,0.7317073170731707,dkim3530,2024-09-24T21:04:17Z,"melodic rap,pluggnb,rap",Galactic Records/Lil Tecca,0.718,0.671664167916042,11,0.7342589968829697,0,0.14985862393967952,0.008619506600969233,0.0,0.29879898095353635,0.11739502999143102,0.4371600895066761,4
1qIwin7JMVuX70qN6wD8ww,It's Up (feat. Young Thug & 21 Savage),100 GIGS,"Drake,Young Thug,21 Savage",2024-08-30,278000,0.8292682926829268,dkim3530,2024-09-24T21:04:17Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop,atl trap,gangster rap,melodic rap,trap",OVO/Republic,0.783,0.6506746626686656,1,0.7969963162368943,1,0.1950989632422243,0.03148393225160893,0.0,0.1568603663714667,0.2737789203084833,0.4958580933892504,4
487JCvAXVblflZyDJn3fSp,Help Me,Help Me,Real Boston Richey,2024-05-31,181165,0.7682926829268293,dkim3530,2024-09-24T21:04:17Z,"florida drill,memphis hip hop",Freebandz Global/Epic,0.749,0.6296851574212893,6,0.7117597052989515,1,0.42884071630537224,0.18494766600277096,0.0,0.3630959602086619,0.5629820051413882,0.04082630666409808,4
0DhCbTQZfWD8P8pOlg3jv9,TOO FAST,MIXTAPE PLUTO,Future,2024-09-20,205730,0.7682926829268293,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,hip hop,rap,southern hip hop,trap",Wilburn Holding Co./Epic,0.542,0.48125937031484256,5,0.7054122981014451,0,0.7304429783223372,0.15869415011999052,0.0,0.11803954870799466,0.29841473864610113,0.07772558201567856,4
5ahdQDl9WGN9dNDDH0RKyJ,Passport Junkie,Passport Junkie,Rod Wave,2024-09-14,147749,0.6829268292682927,dkim3530,2024-09-24T21:04:17Z,florida rap,Alamo,0.406,0.4947526236881559,1,0.6903938792859167,1,0.12120640904806783,0.30428182910631846,1.6803278688524592e-06,0.448016498847507,0.6026135389888603,0.07787377187652825,4
4IFd7EVCyJsUHesBMXI8ju,Parking Lot,Parking Lot,"Mustard,Travis Scott",2024-06-21,172794,0.8048780487804879,dkim3530,2024-09-24T21:04:17Z,"cali rap,pop rap,rap,southern hip hop,trap,slap house",BMG Rights Management (US) LLC,0.724,0.39880059970015,3,0.6655709832813829,1,0.036192271442035816,0.2028477904683031,3.5655737704918037e-05,0.3546039063447774,0.3958868894601542,0.20025636845927003,4
