Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1SShxVVBeZBCY7WddnksPz,"2sd9Q3r0Jhqpe3w9WVuG43,4zs2Vybqo9ktD8QORpnHfI","Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix","Surprise","Crystal Waters,The Basement Boys",1991-01-01,451826,65,spotify:user:aryana.oneill,2022-04-20T21:59:01Z,"diva house",0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,4
14fIlfcmFPlj4V2IazeJ25,"205i7E8fNVfojowcQSfK9m","Take It","Take It","Dom Dolla",2018-07-27,234440,60,spotify:user:aryana.oneill,2022-04-20T22:02:49Z,"australian house,deep groove house,house",0.851,0.742,0,-6.126,1,0.0377,0.0259,0.256,0.111,0.236,123.033,4
1gRQxbfL4ULWyTosgXSbWT,"1VJ0briNOlXRtJUAzoUJdt","You Little Beauty","You Little Beauty","FISHER",2019-05-10,206587,64,spotify:user:aryana.oneill,2022-04-20T22:04:08Z,"australian house,house",0.926,0.951,6,-5.531,0,0.0924,0.00232,0.452,0.313,0.918,123.987,4
303ccTay2FiDTZ9fZ2AdBt,"2w7IutHv5g4e8LumrwtjWR,2XOvFG8pp1XAV1V6ZJABim,24JRvbKfTcF2x7c2kCCJrW,41vv2Tj1knysv6MuFUmdwi","Music Sounds Better With You","Music Sounds Better With You","Stardust,Benjamin Diamond,Alan Braxe,Thomas Bangalter",1998-07-20,403293,70,spotify:user:aryana.oneill,2022-04-20T22:06:16Z,"filter house,electrofox",0.735,0.72,1,-7.04,1,0.336,0.00105,0.15,0.382,0.364,124.174,4
46nw6YdpJkEyclznx4VU7o,"0PBXAVipMP5B7A554hJX0R","Plasma","Planet Piano","DR. GABBA",2022-03-11,251904,55,spotify:user:aryana.oneill,2023-07-12T21:18:08Z,"rally house",0.811,0.749,3,-9.051,1,0.0636,0.0154,0.886,0.133,0.542,125.995,4
44CZRkOxv7UItaAUmh8PgN,"00dwwnz3V4kRfu3UFYpJLz","Doses & Mimosas","Year of the Caprese","Cherub",2014,323253,70,spotify:user:aryana.oneill,2022-04-20T22:08:20Z,"",0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,4
6ho0GyrWZN3mhi9zVRW7xi,"1VJ0briNOlXRtJUAzoUJdt","Losing It","Losing It","FISHER",2018-07-13,248035,71,spotify:user:aryana.oneill,2022-04-20T22:08:34Z,"australian house,house",0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,4
1Up1XBkxqdtu2BMP8iJr48,"6h6jp2XsW3RvXdQs7Pfu4m","Pyramid","Alchemy","ALYSS",2017-03-12,233684,0,spotify:user:aryana.oneill,2022-04-20T22:11:08Z,"uk alternative pop",0.654,0.758,3,-9.779,1,0.274,0.0447,0,0.0971,0.414,114.082,4
20on25jryn53hWghthWWW3,"4pnp4w9g30yLfVIAFnZMRd,1c70yCa8sRgIiQxl3HOEFo","Do It To It","Do It To It","ACRAZE,Cherish",2021-08-20,157890,78,spotify:user:aryana.oneill,2022-04-20T22:09:30Z,"pop dance,tech house,atl hip hop,girl group,hip pop,r&b,southern hip hop,urban contemporary",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
2SSFvQBwsxeazzo7z5l9gD,"77AiFEVeAVj2ORpC85QVJs,5Igpc9iLZ3YGtKeYfSrrOE,2vVNxGBvKRQMWwI5c8KmYh,6KZDXtSj0SzGOV705nNeh3","Delirious (Boneless) (feat. Kid Ink)","Neon Future I","Steve Aoki,Chris Lake,Tujamo,Kid Ink",2014-09-29,223413,58,spotify:user:aryana.oneill,2022-04-20T22:11:49Z,"edm,electro house,pop dance,bass house,house,melbourne bounce,progressive house,tech house,uk dance,dutch house,progressive electro house,pop rap,rap,southern hip hop,trap",0.706,0.912,8,-4.44,0,0.0565,0.0195,0,0.232,0.925,128.004,4
7rnUUeR3KIng4bUftUUQ03,"5fMUXHkw8R8eOP2RNVYEZX,5czbzNZZfWpyFgZyfT3Mkk","On My Mind - Do You Dance? Edit","On My Mind (Remixes)","Diplo,SIDEPIECE",2020-12-11,138534,35,spotify:user:aryana.oneill,2022-04-20T22:13:30Z,"dance pop,edm,electro house,moombahton,pop dance,bass house,house,tech house",0.852,0.471,7,-11.263,1,0.0663,0.001,0.0231,0.105,0.825,123.054,4
4qetR2UUyBeUrJ9DbYrpVQ,"1VJ0briNOlXRtJUAzoUJdt","Stop It","Oi Oi","FISHER",2017-11-10,163790,3,spotify:user:aryana.oneill,2022-04-22T00:26:56Z,"australian house,house",0.86,0.824,8,-7.207,1,0.0518,0.024,0.657,0.205,0.87,124.016,4
4kdnniHBTCnzaYXrnsweSf,"5hEZc6Innys0o99gLeha3K","Poison","Lekker Setje Beats","Klaus Veen",2020-07-09,191772,36,spotify:user:aryana.oneill,2022-04-22T02:33:20Z,"dutch tech house",0.826,0.925,1,-6.441,1,0.254,0.0428,0.00621,0.0689,0.726,126.505,4
3T00mhdOYUuM5yiuPs3xhs,"205i7E8fNVfojowcQSfK9m","San Frandisco","San Frandisco","Dom Dolla",2019-09-20,185000,60,spotify:user:aryana.oneill,2022-04-28T04:13:31Z,"australian house,deep groove house,house",0.779,0.937,9,-6.269,0,0.0496,0.0443,0.101,0.0912,0.49,125.025,4
5ijp0ctfwwkmkR6hWDQnwn,"5jm3x1qIibWdKSEMw2G011,507dlbjxTi8gIAW8tPl5EF,4MCQBhrvHrufVxrKk5c5U3","Boom Shakalaka","The Return of House Music","Moksi,Emy Perez,Digitzz",2019-08-02,178320,44,spotify:user:aryana.oneill,2022-05-08T04:29:38Z,"bass house,brostep,dutch edm,electro house,electronic trap",0.87,0.787,4,-8.091,0,0.206,0.0267,0.144,0.229,0.551,123.953,4
4ZOuB9nVbvyeEIYKbm55O4,"2VAnyOxzJuSAj7XIuEOT38,0tMr0e1EQZ0Vci7EHz2bM9","Best Be Believing - Shadow Child Remix","Body Music (Remixed)","AlunaGeorge,Shadow Child",2014-06-09,351605,51,spotify:user:aryana.oneill,2022-05-09T19:30:20Z,"electropop,house,uk dance,minimal tech house",0.85,0.755,11,-6.832,0,0.0597,0.0136,0.565,0.0216,0.534,124.02,4
44xO8889yUQHn70P73NILS,"6YCM9JwkqdEFQSzztmh4Kb","Believe Me","Believe Me","Navos",2021-01-22,188260,61,spotify:user:aryana.oneill,2022-05-09T19:30:31Z,"",0.629,0.876,5,-5.572,0,0.0408,0.129,0.00000139,0.29,0.645,124.999,4
5VZSIseZuR0WoAwieGD4Ff,"45lcbTsX07JWzmTIjcdyBz","Walk In The Spot","Walk In The Spot","Matroda",2019-12-20,194747,34,spotify:user:aryana.oneill,2022-05-09T19:32:29Z,"bass house,electro house,tech house",0.764,0.908,7,-3.976,1,0.0735,0.00862,0.742,0.0977,0.354,124.019,4
4iD3msRl5hJUBEtrQwnR4k,"4D75GcNG95ebPtNvoNVXhz,2d6W4cnC5XsVOaxtgaj9hA","Take over Control (feat. Eva Simons)","Take over Control (feat. Eva Simons)","AFROJACK,Eva Simons",2011-01-04,220520,50,spotify:user:aryana.oneill,2022-05-10T20:38:56Z,"big room,dance pop,dutch house,edm,electro house,pop dance,progressive electro house,dutch pop",0.735,0.699,0,-4.435,0,0.084,0.121,0.0000282,0.0809,0.603,129.944,4
5NsruZ9uIydV0A196WZjkV,"6nxWCVXbOlEVRexSbLsTer,6JcD2YKEhgimweLpUI0NEw","Hyperreal","Hyperreal","Flume,KUČKA",2017-05-05,254062,8,spotify:user:aryana.oneill,2022-05-14T02:01:00Z,"australian dance,australian electropop,australian indie,downtempo,edm,indietronica,electra",0.675,0.843,11,-5.205,0,0.3,0.0358,0.064,0.152,0.536,110.034,4
4tcPIwy0UvLYjhXLrMyx89,"6F3vLfyutkUhpM50G84eMt","Pump It Up","Pump It Up","Endor",2020-03-12,150635,60,spotify:user:aryana.oneill,2022-05-14T03:06:58Z,"deep groove house,scottish rock",0.898,0.893,1,-7.255,1,0.225,0.207,0.0000933,0.061,0.653,129.047,4
26zt79lTciS4tfncBX1qPV,"4Siyzg8kWayQfPQsPSl6JI","Boyz N Da Club - Radio Edit","Boyz N Da Club (Radio Edit)","Shermanology",2021-04-30,141395,63,spotify:user:aryana.oneill,2022-05-14T03:29:10Z,"dutch house,tech house",0.907,0.707,4,-7.627,0,0.185,0.00983,0.444,0.166,0.566,129.097,4
68kRRV5xUheCkKbk58Ii3j,"4bazJLWIv8CuqmgxJRiGqo","Thinking About It - Radio Edit","Thinking About It (Radio Edit)","Just Kiddin",2014-10-12,172578,37,spotify:user:aryana.oneill,2022-05-14T03:30:30Z,"house,uk dance",0.69,0.836,5,-6.224,0,0.038,0.0237,0.000116,0.112,0.296,119.999,4
5JeBHduTGxXxytZFXBcIlB,"5Igpc9iLZ3YGtKeYfSrrOE,2GtBFxIWM3H6wRI2uzZvyt,1Ck15KzRcbdOiyLRvw13QJ","Turn off the Lights - Cages Remix","Turn off the Lights","Chris Lake,Alexis Roberts,Cages",2018-02-23,208857,60,spotify:user:aryana.oneill,2022-05-20T02:10:17Z,"bass house,edm,electro house,house,melbourne bounce,pop dance,progressive house,tech house,uk dance,chill r&b,deep groove house",0.667,0.839,11,-6.677,0,0.0542,0.00324,0.00288,0.476,0.337,125.03,4
1snNAXmmPXCn0dkF9DaPWw,"6nS5roXSAGhTGr34W6n7Et,14L5rpGTLVUz1pD8fUeJB1,6nxWCVXbOlEVRexSbLsTer","You & Me - Flume Remix","Settle (The Remixes)","Disclosure,Eliza Doolittle,Flume",2013-06-11,282812,64,spotify:user:aryana.oneill,2022-05-26T02:25:13Z,"edm,electropop,house,indietronica,uk dance,lilith,australian dance,australian electropop,australian indie,downtempo",0.593,0.392,10,-6.872,0,0.0257,0.382,0.000114,0.131,0.25,75.065,4
5WI2ltQIdwgzf1SNE76JyR,"6nxWCVXbOlEVRexSbLsTer,6xHUXzrfhFgnIv86EBR3Ml","Never Be Like You (feat. Kai)","Skin","Flume,kai",2016-05-27,234909,71,spotify:user:aryana.oneill,2022-05-26T02:25:17Z,"australian dance,australian electropop,australian indie,downtempo,edm,indietronica",0.444,0.557,0,-5.476,1,0.0602,0.453,0,0.152,0.296,115.058,4
5cG2xC4qPmUTerZdWupWNi,"1ic0FHNGIjXZAWH6O6Reif","Need It","Need It","Ship Wrek",2019-07-01,160739,43,spotify:user:aryana.oneill,2022-05-30T14:57:07Z,"stutter house,tech house",0.8,0.862,5,-4.373,0,0.068,0.000286,0.843,0.0516,0.405,125.97,4
6mH8uF35AIWGlmcQZMAQ9v,"5vBSrE1xujD2FXYRarbAXc","Desire","Communion (Deluxe)","Olly Alexander (Years & Years)",2015-06-22,206773,49,spotify:user:aryana.oneill,2022-06-07T00:44:04Z,"dance pop,gauze pop,pop,pop dance,uk pop",0.685,0.792,10,-4.157,0,0.0443,0.223,0,0.334,0.736,126.002,4
2NAZcL9tLUkdMMb5v3xFVG,"7c0XG5cIJTrrAgEC3ULPiq,1RyvyyTE3xzB2ZywiAwp0i,7iZtZyCzp3LItcw1wtPI3D,7wg1qvie3KqDNQbAkTdbX0","Blasé (feat. Future & Rae Sremmurd) - Louis the Child Remix","Blasé (feat. Future & Rae Sremmurd) [Remixes]","Ty Dolla $ign,Future,Rae Sremmurd,Louis The Child",2015-11-13,228750,53,spotify:user:aryana.oneill,2022-06-07T00:44:10Z,"hip hop,pop rap,r&b,southern hip hop,trap,trap soul,atl hip hop,rap,melodic rap,mississippi hip hop,edm,electropop,indie poptimism,vapor soul",0.615,0.523,7,-4.246,0,0.267,0.505,0.00000429,0.11,0.693,127.932,4
0ULEBRTLZhgKisTpgKzAuB,"6nxWCVXbOlEVRexSbLsTer","Insane feat. Moon Holiday","Flume: Deluxe Edition","Flume",2012-11-09,213883,8,spotify:user:aryana.oneill,2022-06-09T01:48:20Z,"australian dance,australian electropop,australian indie,downtempo,edm,indietronica",0.348,0.536,5,-8.257,0,0.0454,0.0505,0.0000597,0.121,0.0479,188.069,4
3ohupB1Wm1Cvcyre7rtS9p,"6nxWCVXbOlEVRexSbLsTer","Holdin On","Flume: Deluxe Edition","Flume",2012-11-09,154414,7,spotify:user:aryana.oneill,2022-06-09T01:48:25Z,"australian dance,australian electropop,australian indie,downtempo,edm,indietronica",0.43,0.436,8,-4.816,1,0.119,0.17,0,0.128,0.217,90.053,4
5aOpzm8W8zysk4asB9hxJw,"6nxWCVXbOlEVRexSbLsTer,4NHQUGzhtTLFvgF5SZesLK","Say It (feat. Tove Lo)","Skin","Flume,Tove Lo",2016-05-27,262521,61,spotify:user:aryana.oneill,2022-06-09T01:48:33Z,"australian dance,australian electropop,australian indie,downtempo,edm,indietronica,dance pop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.598,0.532,3,-6.833,0,0.0295,0.0668,0.00000322,0.0617,0.261,74.963,4
1E0EOstQRm7YMhFpmDJzaB,"3fmMaLC5jjf2N4EC2kTx0u,6JW55AQgf9M9SZgzZou2NQ,0MH2SnPBynNlz9HRqC84ZK","The Buzz (feat. Mataya & Young Tapz)","Dark Night Sweet Light","Hermitude,Mataya,Young Tapz",2015-08-28,221786,0,spotify:user:aryana.oneill,2022-06-09T14:19:15Z,"australian dance,australian indie,downtempo,escape room",0.739,0.583,0,-6.434,0,0.173,0.33,0.00137,0.122,0.497,140.941,4
