Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2WGcpz55A2vrvh6foEGCNL,"0NIPkIjTV8mB795yEIiPYL","Calling After Me","Calling After Me","Wallows",2024-03-21,187692,68,spotify:user:dkim3530,2024-04-03T04:07:42Z,"pov: indie",0.636,0.797,8,-4.644,1,0.0296,0.00598,0.00000426,0.114,0.965,139.963,4
2fyIS6GXMgUcSv4oejx63f,"7Ln80lUS6He07XvHI8qqHH","Mardy Bum","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,175440,72,spotify:user:dkim3530,2024-04-03T04:08:01Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.634,0.599,2,-5.447,1,0.0365,0.0288,0,0.197,0.312,112.215,4
1C5utO1I8FoSIn6g1R5DAZ,"3mIj9lX2MWuHmhNCA7LSCW","If You’re Too Shy (Let Me Know)","Notes On A Conditional Form","The 1975",2020-05-22,319370,61,spotify:user:dkim3530,2024-04-03T04:08:09Z,"modern alternative rock,modern rock,pop,pov: indie,rock",0.64,0.628,2,-6.091,1,0.0324,0.0157,0.0382,0.0916,0.235,125.648,4
4K6e6JiR1KFohWedXSnvob,"59KX7XUUgAOOo5IyDjca0T","All I Need","My Head is a Moshpit","Verzache",2021-03-05,203750,43,spotify:user:dkim3530,2024-04-03T04:08:15Z,"sad lo-fi",0.663,0.786,9,-5.325,1,0.0353,0.212,0.00000196,0.0957,0.319,145.977,4
5H8BPBnmDDeocTGbwCmYWm,"2sSGPbdZJkaSE2AbcGOACx,2SaIA1enj83vEmJikZdjQ3","Drip","Drip","The Marías,Triathalon",2018-11-08,195754,49,spotify:user:dkim3530,2024-04-03T04:08:29Z,"bedroom pop,la indie,indie garage rock",0.734,0.385,2,-9.668,0,0.0312,0.585,0.222,0.0991,0.616,120.016,4
7DcJ6fEBb7BaKuYKTwiDxK,"5J81VungUjSVHxlPpTI9KG","Homage","Skiptracing","Mild High Club",2016-08-26,177493,72,spotify:user:dkim3530,2024-04-03T04:08:35Z,"indie garage rock,neo-psychedelic",0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4
1CvDg1sWrIwSspEli3EqZp,"3BcSXip92N0HwJRA9sVmP6","when sunday comes around","Monterey Village","Marlon Funaki",2022-07-01,319333,35,spotify:user:dkim3530,2024-04-03T04:08:39Z,"",0.632,0.567,4,-10.966,1,0.0329,0.321,0.131,0.113,0.321,134.985,4
73ROvjXlrsrDcNmCurwWOF,"1QAJqy2dA3ihHBFIHRphZj","Sesame Syrup","Crush","Cigarettes After Sex",2018-07-10,303296,39,spotify:user:dkim3530,2024-04-03T04:08:43Z,"ambient pop,dream pop,el paso indie,shoegaze",0.237,0.412,4,-11.384,1,0.0299,0.0417,0.451,0.107,0.364,186.955,4
0EfsDEYaSjGYd66Pr881nq,"77SW9BnxLY8rJ0RciFqkHh","Cry Baby","Wiped Out!","The Neighbourhood",2015-10-30,235160,71,spotify:user:dkim3530,2024-04-03T04:08:55Z,"modern alternative rock,modern rock,pop",0.581,0.656,4,-4.891,0,0.0294,0.00269,0.00000278,0.101,0.338,108.033,4
64TjzuxG5PJ7payjphrOC0,"1btWGBz4Uu1HozTwb2Lm8A","South","South - Single","Hippo Campus",2015-08-03,231468,54,spotify:user:dkim3530,2024-04-03T04:09:03Z,"modern rock,pov: indie",0.532,0.548,1,-6.521,1,0.0291,0.174,0.0033,0.108,0.443,130.114,4
4Z3Mmn6cIeuKprHQyyAbXQ,"2TviQllPVEQ7E68Yr4uPKR","Blue Spirits","Blue Spirits","DWLLRS",2022-05-24,188307,51,spotify:user:dkim3530,2024-04-03T04:09:10Z,"chill pop",0.645,0.638,9,-5.81,1,0.0434,0.66,0,0.27,0.356,129.985,4
0awZwmlC6pxH65KTZpadmX,"7vtSUU3zpHeYJfX6BPNrJd","Freakin' Out On the Interstate","Freakin' Out On The Interstate (Acoustic Version [Live])","Briston Maroney",2020-07-10,251906,69,spotify:user:dkim3530,2024-04-03T04:09:14Z,"nashville indie,pov: indie",0.45,0.794,4,-5.015,1,0.0538,0.388,0,0.303,0.362,143.861,4
7GfNOvMCTRh2WR1n6gUt0A,"23FgP9gxRT6QMcRhsV71kY","VIRGINIA CREEPER","VIRGINIA CREEPER","greek",2023-06-23,172307,47,spotify:user:dkim3530,2024-04-03T04:09:22Z,"",0.756,0.599,1,-10.057,0,0.33,0.463,0.0000189,0.275,0.412,116.989,4
7e8utCy2JlSB8dRHKi49xM,"7Ln80lUS6He07XvHI8qqHH","Fluorescent Adolescent","Favourite Worst Nightmare (Standard Version)","Arctic Monkeys",2007-04-24,173493,69,spotify:user:dkim3530,2024-04-03T04:09:39Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.646,0.813,6,-5.29,0,0.0288,0.00178,0.0000226,0.144,0.821,112.115,4
77EtpdLPsfzFOBONaTc1IQ,"1VjLe0p8LUFKPbyKaQZAgu","Outskirts Of Infinity","Outskirts Of Infinity","Ashes To Amber",2020-03-28,187846,54,spotify:user:dkim3530,2024-04-03T04:09:48Z,"",0.744,0.66,4,-6.999,1,0.0365,0.51,0.0000938,0.135,0.74,129.984,4
3GBApU0NuzH4hKZq4NOSdA,"536BYVgOnRky0xjsPT96zl","What You Know","Tourist History","Two Door Cinema Club",2010-02-17,191706,73,spotify:user:dkim3530,2024-04-03T04:09:53Z,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie",0.563,0.739,6,-4.239,0,0.0416,0.00073,0.0000145,0.0822,0.775,139,4
62C8Bd6EgEOofLZ1COjF3n,"53k2km8u55n9YaJJB7scjX","striptease","striptease","carwash",2019-11-05,160659,61,spotify:user:dkim3530,2024-04-03T04:10:03Z,"",0.693,0.575,8,-8.887,1,0.0727,0.124,0.946,0.102,0.728,130.033,4
7A1QyOWeIiID6ryzm38DvR,"2jcosKESbls8RvXqNH9eYA","is it enough?","sincerely, zack","Zac Pana",2022-12-07,76279,26,spotify:user:dkim3530,2024-04-03T04:10:32Z,"bedroom r&b",0.663,0.2,0,-9.25,0,0.0279,0.623,0.0000328,0.111,0.498,84.959,4
4iG2gAwKXsOcijVaVXzRPW,"0SwO7SWeDHJijQ3XNS7xEE","Time to Pretend","Oracular Spectacular","MGMT",2007-12-14,261000,75,spotify:user:dkim3530,2024-04-03T04:10:49Z,"alternative rock,indie rock,indietronica,modern rock,rock",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
