Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2jnezASa7o0lP6aif6VrIf,"TEFLON DON","MIXTAPE PLUTO","Future",2024-09-20,159893,76,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,hip hop,rap,southern hip hop,trap","Wilburn Holding Co./Epic",0.916,0.578,11,-6.275,1,0.124,0.00349,0.00402,0.113,0.192,124.005,4
2cZOYofOX4d6g0OXxkaIjA,"ALL RED","ALL RED","Playboi Carti",2024-09-13,148053,91,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,plugg,pluggnb,rage rap,rap","AWGE/Interscope Records",0.76,0.663,9,-4.763,0,0.0551,0.109,0,0.305,0.209,143.082,4
1560osUcXrnov6yuOjXvc1,"No Face","No Face","Drake",2024-08-31,137142,81,dkim3530,2024-09-24T21:04:17Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap","OVO",0.853,0.69,10,-5.858,1,0.0647,0.0771,0,0.0835,0.471,125.951,4
2c7z5oRcPBbqRaBY2mLWcf,"NEW DROP","HARDSTONE PSYCHO","Don Toliver",2024-06-14,217333,81,dkim3530,2024-09-24T21:04:17Z,"rap","Cactus Jack / Atlantic",0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,4
3lCb7ZYE3Fvie4JOPqpXfY,"FIELD TRIP","FIELD TRIP","¥$,Playboi Carti,Don Toliver,Kodak Black",2024-08-03,163155,75,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,plugg,pluggnb,rage rap,rap,florida drill,florida rap,melodic rap,miami hip hop,trap,trap latino","YZY",0.731,0.685,11,-4.707,0,0.12,0.054,0,0.0865,0.458,121.991,4
5oq7ssOOA3U6UbQ5vjYQvO,"It Is What It Is (feat. Gunna)","Better Me Than You","Big Sean,Gunna",2024-08-30,203637,75,dkim3530,2024-09-24T21:04:17Z,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap,atl hip hop,melodic rap","FF to Def Entertainment/Def Jam PS",0.667,0.752,11,-5.709,0,0.223,0.026,0,0.439,0.608,132.058,4
2t4H61OtTYgmDe61KxkjKH,"PLUTOSKI","MIXTAPE PLUTO","Future",2024-09-20,179022,74,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,hip hop,rap,southern hip hop,trap","Wilburn Holding Co./Epic",0.794,0.533,9,-8.206,1,0.0591,0.14,0.0000276,0.207,0.15,120.011,4
5Pvpk8WHAvmmxMr7SkcZsN,"120","PLAN A","Lil Tecca",2024-09-20,130979,71,dkim3530,2024-09-24T21:04:17Z,"melodic rap,pluggnb,rap","Galactic Records/Lil Tecca",0.718,0.737,11,-5.988,0,0.111,0.00724,0,0.276,0.148,132.02,4
1qIwin7JMVuX70qN6wD8ww,"It's Up (feat. Young Thug & 21 Savage)","100 GIGS","Drake,Young Thug,21 Savage",2024-08-30,278000,79,dkim3530,2024-09-24T21:04:17Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop,atl trap,gangster rap,melodic rap,trap","OVO/Republic",0.783,0.723,1,-4.881,1,0.135,0.0264,0,0.159,0.294,139.942,4
487JCvAXVblflZyDJn3fSp,"Help Me","Help Me","Real Boston Richey",2024-05-31,181165,74,dkim3530,2024-09-24T21:04:17Z,"florida drill,memphis hip hop","Freebandz Global/Epic",0.749,0.709,6,-6.385,1,0.259,0.155,0,0.329,0.564,78.53,4
0DhCbTQZfWD8P8pOlg3jv9,"TOO FAST","MIXTAPE PLUTO","Future",2024-09-20,205730,74,dkim3530,2024-09-24T21:04:17Z,"atl hip hop,hip hop,rap,southern hip hop,trap","Wilburn Holding Co./Epic",0.542,0.61,5,-6.497,0,0.419,0.133,0,0.127,0.317,83.51,4
5ahdQDl9WGN9dNDDH0RKyJ,"Passport Junkie","Passport Junkie","Rod Wave",2024-09-14,147749,67,dkim3530,2024-09-24T21:04:17Z,"florida rap","Alamo",0.406,0.619,1,-6.762,1,0.0958,0.255,0.00000123,0.399,0.601,83.53,4
4IFd7EVCyJsUHesBMXI8ju,"Parking Lot","Parking Lot","Mustard,Travis Scott",2024-06-21,172794,77,dkim3530,2024-09-24T21:04:17Z,"cali rap,pop rap,rap,southern hip hop,trap,slap house","BMG Rights Management (US) LLC",0.724,0.555,3,-7.2,1,0.0507,0.17,0.0000261,0.322,0.408,100.047,4
62oLxos6R04SVYL1lXidvu,"2 Slippery (feat. BossMan Dlow)","Mr. Skii","Luh Tyler,BossMan Dlow",2024-08-22,159228,62,dkim3530,2024-09-24T21:04:17Z,"florida drill","Motion Music/Atlantic",0.608,0.4,1,-9.519,1,0.32,0.029,0.000327,0.119,0.089,106.682,5
2hrycoFU1mZw6YPvMcn8yC,"KEHLANI","KEHLANI","Jordan Adetunji",2024-06-24,122360,88,dkim3530,2024-09-24T21:04:17Z,"irish hip hop","300 Entertainment",0.645,0.634,10,-3.769,0,0.0341,0.158,0.00000378,0.0908,0.352,160.017,4
