Spotify ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1I08zQMc1sHy2xwd8itedV,"Soh-Soh","Sunday At Zuri's","Odeal",2024-07-05,184552,71,dkim3530,2024-09-25T19:56:38Z,"uk contemporary r&b","OVMBR",0.776,0.549,9,-14.509,0,0.0574,0.0578,0.0149,0.0868,0.679,95.021,4
1mh9eHVRdNhzryG43PXdW1,"MUTT","MUTT","Leon Thomas",2024-08-09,193333,67,dkim3530,2024-09-25T19:56:38Z,"indie r&b","EZMNY Records/Motown Records",0.635,0.462,1,-8.092,1,0.12,0.174,0.0000226,0.0697,0.601,179.949,4
5Nt2FMqnKI2mlp7lztURNo,"KEHLANI (REMIX) [feat. Kehlani]","KEHLANI (REMIX) [feat. Kehlani]","Jordan Adetunji,Kehlani",2024-06-20,179974,78,dkim3530,2024-09-25T19:56:38Z,"irish hip hop,pop,r&b,rap","300 Entertainment",0.408,0.699,6,-3.607,1,0.0559,0.0759,0,0.298,0.219,159.687,4
6NCtzHANN8GwvxdrSzJBB9,"Wait On It (feat. Bryson Tiller & Chris Brown)","Wait On It (feat. Bryson Tiller & Chris Brown)","Jeremih,Bryson Tiller,Chris Brown",2024-06-28,205400,69,dkim3530,2024-09-25T19:56:38Z,"chicago rap,pop rap,r&b,southern hip hop,trap,urban contemporary,kentucky hip hop,rap","PULSE Records",0.621,0.63,8,-5.764,1,0.215,0.0227,0.00000299,0.111,0.539,82.796,4
7jEpRsSusmGqKFISucMnV7,"Please Don't Fall In Love With Me","Please Don't Fall In Love With Me","Khalid",2024-04-05,177562,68,dkim3530,2024-09-25T19:56:38Z,"pop,pop r&b","Right Hand Music Group, LLC/RCA Records",0.665,0.578,1,-5.856,1,0.0398,0.374,0.00215,0.115,0.223,109.961,4
4t4rGgiVX7woTmlnW9SHJ7,"Residuals","11:11 (Deluxe)","Chris Brown",2024-04-11,215178,72,dkim3530,2024-09-25T19:56:38Z,"r&b,rap","Chris Brown Entertainment/RCA Records",0.58,0.645,6,-7.793,0,0.0821,0.342,0,0.108,0.171,114.905,4
1D1M805zV8DwhYXsvJdQZx,"Burning","Born in the Wild","Tems",2024-06-06,175237,68,dkim3530,2024-09-25T19:56:38Z,"afro r&b,afrobeats,alte,nigerian pop","RCA Records/Since 93'",0.831,0.293,1,-8.047,0,0.0571,0.378,0.0000204,0.0724,0.419,92.007,4
3iHpwGD3h3Bj87KrJEBMI4,"One Wish (feat. Childish Gambino)","One Wish (feat. Childish Gambino)","Ravyn Lenae,Childish Gambino",2024-07-26,195502,63,dkim3530,2024-09-25T19:56:38Z,"alternative r&b,indie soul,atl hip hop,hip hop,rap","Atlantic Records",0.407,0.548,9,-9.403,1,0.0617,0.247,0.00885,0.0608,0.52,138.4,4
0rNDm3uRDxLCnBlpU83Lkt,"S.I.N.G.L.E.","While We Wait 2","Kehlani",2024-08-28,236303,57,dkim3530,2024-09-25T19:56:38Z,"pop,r&b,rap","TSNMI / Atlantic",0.724,0.699,6,-4.649,0,0.0678,0.627,0,0.337,0.472,97.988,4
79Az2dOKvoR2hfVEIRZd1D,"Leave My Baby Tonight (feat. GloRilla)","Revenge","Muni Long,GloRilla",2024-08-30,196040,53,dkim3530,2024-09-25T19:56:38Z,"indie r&b,southern hip hop","Muni Long PS/ Def Jam",0.776,0.525,5,-7.378,0,0.429,0.321,0,0.113,0.487,87.861,4
